date,stock,factor_name,factor_value,return,forward_return_1d,forward_return_5d,forward_return_10d,forward_return_20d,forward_return_40d
2023-02-06,000001,volume_factor,0.06938820761719056,-0.01526717557251911,0.01781170483460559,-0.01526717557251911,0.012722646310432628,-0.012722646310432406,-0.11280746395250196
2023-02-06,300750,volume_factor,-0.24472468332647335,0.022671009771986883,-0.006036916395222525,0.022671009771986883,-0.07270358306188929,-0.1017589576547232,-0.12521172638436484
2023-02-06,600519,volume_factor,0.46257092411334155,0.03797256814636918,0.0012378995320738717,0.03797256814636918,0.04951598128295909,0.007514050159688868,0.00437597484588137
2023-02-07,000001,momentum,0.03806228373702414,-0.02083333333333337,-0.01416666666666666,-0.02083333333333337,-0.009166666666666656,-0.043333333333333335,-0.13
2023-02-07,000001,volatility,0.019114288450255708,-0.02083333333333337,-0.01416666666666666,-0.02083333333333337,-0.009166666666666656,-0.043333333333333335,-0.13
2023-02-07,000001,volume_factor,-0.2542471911615778,-0.02083333333333337,-0.01416666666666666,-0.02083333333333337,-0.009166666666666656,-0.043333333333333335,-0.13
2023-02-07,300750,momentum,0.16539362460535711,0.007165952984357293,-0.002141046928253121,0.007165952984357293,-0.08031110722712587,-0.11142182993970107,-0.1458970549681028
2023-02-07,300750,volatility,0.02419807799503452,0.007165952984357293,-0.002141046928253121,0.007165952984357293,-0.08031110722712587,-0.11142182993970107,-0.1458970549681028
2023-02-07,300750,volume_factor,-0.4876050909793712,0.007165952984357293,-0.002141046928253121,0.007165952984357293,-0.08031110722712587,-0.11142182993970107,-0.1458970549681028
2023-02-07,600519,momentum,0.04320123819043631,0.028924853490269742,-0.008036398704285297,0.028924853490269742,0.043272916099997616,-0.005378205286713955,0.01087386563141357
2023-02-07,600519,volatility,0.017425573948890702,0.028924853490269742,-0.008036398704285297,0.028924853490269742,0.043272916099997616,-0.005378205286713955,0.01087386563141357
2023-02-07,600519,volume_factor,-0.16370100643333363,0.028924853490269742,-0.008036398704285297,0.028924853490269742,0.043272916099997616,-0.005378205286713955,0.01087386563141357
2023-02-08,000001,momentum,-0.023121387283236983,-0.03127641589180041,0.0076077768385460764,-0.03127641589180041,-0.0016906170752324368,-0.04311073541842769,-0.12341504649196966
